name,address,reclat,reclong
Acme Pharmacy,"3979 Medina Rd. Akron, OH 44319",41.1380812,-81.6420368
Acme Pharmacy,"923 Sunrise Avenue Akron, OH 44333",41.0663462,-81.5538621
Adams County Health Department,"230 Medical Center Drive West Union, OH 45693",38.794547,-83.5367472
Adams County Regional Medical,"446 Hospital Road Seaman, OH 45679",39.3991567,-82.9711641
Adena PACCAR Medical Education,"4125 Medina Rd Chillicothe, OH 45601",41.13679,-81.658864
Akron General Health & Wellness,"5 S Alex Rd Akron, OH 44333",39.6762259,-84.2422058
Alex Central Health Center,"219 E Market Street Miamisburg, OH 45342",39.6248609,-84.3670637
Allen County Public Health,"1401 South Arch Ave Lima, OH 45801",40.9079991,-81.1017609
Alliance Family Health Center,"602 W. Vine Alliance, OH 44601",40.9300114,-81.1159444
Alliance Senior Citizens Center,"1763 State Route 60 Alliance, OH 44601",40.8991183,-81.12177
Ashland County Health Department,"12 West Jefferson Street Ashland, OH 44805",40.8620052,-82.3246007
Ashtabula County Health Department,"3400 St Rt 752 Ashland, OH 44805",39.7239472,-82.9547348
Ashville Apothecary,"278 West Union St. Ashville, OH 43103",39.7136103,-82.9885918
Athens City-County Health Department,"1 Medical Center Dr Athens, OH 45701",39.3272393,-82.114297
Atrium Medical Center,"200 East State Street Middletown, OH 45005",39.543358,-84.3016021
Aultman Alliance Community Hospital,"2600 6th St. SW Alliance, OH 44601",40.7967414,-81.4038276
Aultman Hospital,"832 South Main Street Alliance, OH 44601",40.8706545,-81.3995024
Aultman Orrville Hospital,"269 Portland Way S Orrville, OH 44667",40.7310249,-82.8021983
Avita Health System - Galion Hospital,"715 Richland Mall Galion, OH 44833",40.7717947,-82.5935837
Avita Health System - Ontario Hospital,"1400 S Arlington Street Suite 38 Ontario, OH 44906",41.0341197,-81.4928627
AxessPointe Community Health,"101 East Main Street Barnesville, OH 43713",39.9880681,-81.1770322
Barnesville Family Health Center,"639 W Main Street Akron, OH 44306",41.1574644,-81.2521844
Barnesville Hospital,"25501 Chagrin Blvd Beachwood, OH 44122-5603",41.4650791,-81.4994707
Beachwood Medical Center,"68501 Bannock Road Beachwood, OH 44122-5603",41.4644979,-81.5087322
Belmont County Health Department,"1900 S. Main St. St. Clairsville, OH 43950",40.08217,-80.8938076
Blanchard Valley Hospital,"139 Garau St. Bluffton, OH 45817",40.8874222,-83.8974049
Bluffton Hospital,"550 S. Collett St Lima, OH 45805",40.7339404,-84.1196818
Bradfield Community Health Center,"6630 Broadway Ave Lima, OH 45805",41.461239,-81.643373
Broadway Pharmacy,"619 State Route 821 Cleveland, OH 44105",39.4590085,-81.4499551
Broughton Complex Elizabeth Sugden,"619 State Route 821 Marietta, OH 45750",39.4590085,-81.4499551
Broughton's Complex - Elizabeth,"619 State Route 821 Marietta, OH ",39.4590085,-81.4499551
Broughton Complex Elizabeth Sugden,"619 State Route 821 Marietta, OH 45750",39.4590085,-81.4499551
Broughton's Complex - Elizabeth,"619 State Route 821 Marietta, OH 45750",39.4590085,-81.4499551
Sugden Building,"826 Mount Orab Pike Marietta, OH 45750",38.8757935,-83.900923
Brown County Health Department,"228 S. Main St Georgetown, OH 45121-9312",38.8647784,-83.9047256
Bryan Community Health Center,"2458 Stetzer Rd Bryan, OH 43506",40.817203,-82.940927
Bucyrus Health and Wellness,"2400 Collingwood Bucyrus, OH 44820",40.81636,-82.9737369
Bulldog Health Center,"301 S Third Street Toldeo, OH 43620",41.6438108,-83.5264601
Butler County General Health District,"16480 St Clair Ave Hamilton, OH 45011",39.358979,-84.55167
CAA East Liverpool Campus Building,"103 W Main Street East Liverpool, OH 43920-9124",40.6218513,-80.8423415
CAA Health Behavioral Health at Lisbon,"326 Highland Avenue Lisbon, OH 44432",39.9488254,-83.0601109
Cambridge Guernsey County Health,"75 W Central Avenue Cambridge, OH 43725-2530",40.0179055,-81.5708826
Camden Village Pharmacy,"420 Market Avenue North Camden, OH 45311",40.8008689,-81.3736516
Canton City Public Health,"2365 Innis Road Canton, OH 44702",40.036808,-82.9518432
Capital Park Family Health,"2916 Central Avenue Columbus, OH 43224",39.9237397,-83.0605861
Care Alliance - Central Neighborhood,"1530 Saint Clair Ave NE Cleveland, OH 44115",41.5065719,-81.6847054
Care Alliance - St. Clair Clinic,"301 Moody Ave Cleveland, OH 44114",41.5066969,-81.6915791
Carroll County General Health District,"1475 Upper Valley Pike Carrollton, OH 44615",39.9487248,-83.8538696
CCCHD at the Upper Valley Mall,"2205 Commerce Dr Springfield, OH 45504",39.9370178,-83.842925
CCGHD at Carroll County Transit,"63 N Main Street Carrollton, OH 44615",40.5730218,-81.0867587
Cedar Care Village Pharmacy,"136 West Center Street Cedarville, OH 45314",39.748612,-83.8072189
Center Street Community Health,"333 Conover Dr Ste B Cedarville, OH 45314",39.5567007,-84.2798075
Centerpoint Health Franklin,"655 Africa Road Franklin, OH 45005",40.1432135,-82.9395421
Central Ohio Primary Care Corporate,"1512 South Highway 68 Suite Q-100 Westerville, OH 43082",40.1266689,-82.9318807
Champaign Health District,"4299 Mahoning Ave NW Urbana, OH 43078",41.277643,-80.844087
Champion Discount Pharmacy,"1323 West Third Street Warren, OH 44483",41.2233759,-80.831744
Charles Drew Health Center,"717 3rd Avenue Dayton, OH 45402",39.7613127,-84.1807166
Cincinnati Health Network,"4400 Euclid Avenue Cincinnati, OH 45202",39.1353226,-84.507387
Circle Health Services Midtown,"12201 Euclid Avenue Cleveland, OH 44103",41.5143772,-81.5991381
Circle Health Services Uptown,"1200 N. Court St Cleveland, OH 44106",41.4481551,-81.8033859
Circleville Apothecary,"3101 Burnet Ave Circleville, OH 43113",39.1355865,-84.5013328
City of Cincinnati Health Department,"1200 N. Court St Cincinnati, OH 45229",39.6209764,-82.9400669
City of Cincinnati Health Department,"1 Donham Plaza Cincinnati, OH 45229",39.5194194,-84.4016306
City of Middletown Health Department,"43 West Main Street Middletown, OH 45042",39.516179,-84.4050819
City of Shelby Health Department,"2400 Clermont Center Drive Suite Shelby, OH 44875",39.0828028,-84.1438045
Cleveland Clinic Fairview Hospital,"6777 Mayfield Road Cleveland, OH 44111",41.5208016,-81.4345147
Cleveland Clinic Hillcrest Hospital,"9801 Carnegie Ave Cleveland, OH 44111",41.5017377,-81.618879
Cleveland Clinic Main - Intercontinental,"1000 E Washington St Cleveland, OH 44106",41.137528,-81.8376065
Cleveland Clinic Medina Hospital,"659 Boulevard Medina, OH 44256",41.143245,-81.8552196
Cleveland Clinic Union Hospital,"4242 Lorain Ave Dover, OH 44622",41.4798088,-81.7161751
Cleveland Department of Public Health,"111 S Nelson Ave, Suite 1 Cleveland, OH 44113",39.4431531,-83.8525017
Clinton County Health District,"610 W. Main St Cleveland, OH 44113",41.770849,-81.061202
Clinton Memorial Hospital,"7360 State Route 45 Wilmington, OH 45177",40.7936402,-80.7790686
Columbiana County Health Department,"3907 Central Ave Wilmington, OH 45177",39.5124268,-84.3611056
